Church Name,City,State,Size,Denomination
Brookwood Church,Simpsonville,SC,6103,Southern Baptist Convention
Brushy Creek Baptist Church,Taylors,SC,2000,Southern Baptist Convention
Cathedral of Praise,Charleston,SC,2700,"Independent, Nondenominational"
Cedar Creek Church,Aiken,SC,3000,"Independent, Nondenominational"
Seacoast Church,Charleston,SC,10000,"Independent, Nondenominational"
Shandon Baptist Church,Columbia,SC,2500,Southern Baptist Convention
Southside Fellowship,Greenville,SC,2000,"Independent, Nondenominational"
Taylors First Baptist Church,Taylors,SC,2300,Southern Baptist Convention
Church of the Holy Cross,Sullivan's Island,SC,1800,Episcopal
Community Bible Church,Beaufort,SC,2000,"Independent, Nondenominational"
Cornerstone Community Church,Orangeburg,SC,2000,Unknown (unspecified)
East Cooper Baptist Church,Mount Pleasant,SC,2166,Southern Baptist Convention
West End Baptist Church,Rock Hill,SC,2000,Baptist (unspecified)
Word of God Church and Ministries,Columbia,SC,2200,"Independent, Nondenominational"
Riverbend Baptist Church,North Charleston,SC,3500,Southern Baptist Convention
Transformation Church,Indian Land,SC,2500,"Independent, Nondenominational"
Morningstar Fellowship Church,Fort Mill,SC,2500,"Independent, Nondenominational"
Lexington Baptist Church,Lexington,SC,1800,Southern Baptist Convention
Marathon Church,Greenville,SC,2500,Baptist (unspecified)
NewSpring Church,Anderson,SC,10000,Southern Baptist Convention
Northside Baptist Church,West Columbia,SC,2000,Southern Baptist Convention
Praise Cathedral Church of God,Greer,SC,2000,"Church of God, Cleveland"
Redemption,Greenville,SC,10550,"Independent, Nondenominational"
Rock Springs Baptist Church,Easley,SC,2500,Southern Baptist Convention
Celebrate Church,Sioux Falls,SD,3500,Unknown (unspecified)
Central Baptist Bearden,Knoxville,TN,2000,Southern Baptist Convention
Central Church,Collierville,TN,2500,"Independent, Nondenominational"
Christ Church,Nashville,TN,4500,"Independent, Nondenominational"
Christ Presbyterian Church,Nashville,TN,2000,Presbyterian Church of America
Cokesbury United Methodist Church,Knoxville,TN,2806,United Methodist Church
Collegedale Church,Collegedale,TN,2800,Seventh-day Adventist
Cornerstone Assembly of God,Madison,TN,4024,Assemblies of God
Cross Point Church,Nashville,TN,5027,"Independent, Nondenominational"
Cummings Street Missionary Baptist,Memphis,TN,3000,Baptist (unspecified)
Dallas Bay Baptist Church,Hixson,TN,2500,Southern Baptist Convention
Second Presbyterian Church,Memphis,TN,3600,Presbyterian Church of America
Sevier Heights Baptist Church,Knoxville,TN,3000,Southern Baptist Convention
Silverdale Baptist Church,Chattanooga,TN,3800,Southern Baptist Convention
St. Stephen Baptist Church,Memphis,TN,2000,Baptist (unspecified)
Temple of Deliverance,Memphis,TN,4000,Church of God in Christ
The Fellowship at Two Rivers,Nashville,TN,2000,Baptist (unspecified)
The Life Church,Memphis,TN,3400,"Independent, Nondenominational"
New Creation Church,Shelbyville,TN,2500,"Independent, Nondenominational"
The People’s Church,Franklin,TN,2901,Southern Baptist Convention
Englewood Baptist Church,Jackson,TN,2500,Southern Baptist Convention
Faith Baptist,Bartlett,TN,2500,Southern Baptist Convention
Faith Promise Church,Knoxville,TN,4300,"Independent, Nondenominational"
Fellowship Bible Church Nashville,Brentwood,TN,2400,"Independent, Nondenominational"
Fellowship Bible Church,Jackson,TN,3750,Unknown (unspecified)
Fellowship Evangelical Free Church,Knoxville,TN,2600,Evangelical Free
First Baptist Cleveland,Cleveland,TN,2400,Southern Baptist Convention
First Baptist Church,Sevierville,TN,2200,Southern Baptist Convention
First Baptist Church,Clarksville,TN,2500,Southern Baptist Convention
First Baptist Church,Millington,TN,2500,Southern Baptist Convention
First Baptist Church,Hendersonville,TN,2653,Southern Baptist Convention
First Baptist Concord,Knoxville,TN,2860,Southern Baptist Convention
Forest Hills Baptist Church,Nashville,TN,2000,Southern Baptist Convention
Germantown Baptist Church,Germantown,TN,2000,Southern Baptist Convention
Golden Gate Cathedral,Memphis,TN,4500,"Independent, Nondenominational"
Grace Baptist Church,Knoxville,TN,2783,Southern Baptist Convention
Grace Chapel,Franklin,TN,3500,Calvary Churches
Grace Community Church,Clarksville,TN,2150,Unknown (unspecified)
Abba’s House/Central Baptist,Hixson,TN,1750,Southern Baptist Convention
Bayside Baptist Church,Harrison,TN,1300,Southern Baptist Convention
Bellevue Baptist Church,Cordova,TN,6806,Southern Baptist Convention
Belmont Church,Nashville,TN,2000,"Independent, Nondenominational"
Bethel World Outreach Center,Brentwood,TN,3500,"Independent, Nondenominational"
Brainerd Baptist Church,Chattanooga,TN,2000,Baptist (unspecified)
Brentwood Baptist Church,Brentwood,TN,5637,Southern Baptist Convention
Brentwood United Methodist Church,Brentwood,TN,2484,United Methodist Church
Cedar Springs Presbyterian Church,Knoxville,TN,2700,Evangelical Presbyterian Church
Mount Vernon Baptist Church,Memphis,TN,3000,Baptist (unspecified)
Mount Zion Baptist Church,Nashville,TN,21000,Baptist (unspecified)
New Direction Christian Church,Memphis,TN,10948,CHRISTIAN
New Salem Missionary Baptist Church,Memphis,TN,3100,Missionary Baptist
New Vision Baptist Church,Murfreesboro,TN,2150,Southern Baptist Convention
North Boulevard Church of Christ,Murfreesboro,TN,1800,Church of Christ
Park West Church,Knoxville,TN,2000,"Church of God, Cleveland"
Ridgedale Baptist Church,Chattanooga,TN,2500,Baptist (unspecified)
Grace Fellowship Church,Johnson City,TN,2000,"Independent, Nondenominational"
Hope Presbyterian Church,Cordova,TN,6978,Evangelical Presbyterian Church
Iglesia de Dios Hispana de Nashville,Nashville,TN,2000,Pentecostal (unspecified)
Kirby Woods Baptist Church,Memphis,TN,1800,Southern Baptist Convention
Lake Providence Missionary Baptist Church,Nashville,TN,2200,Missionary Baptist
Life Church of Memphis,Cordova,TN,3000,"Independent, Nondenominational"
LifePoint Church,Smyrna,TN,3100,Baptist (unspecified)
Long Hollow Baptist Church,Hendersonville,TN,7154,Southern Baptist Convention
Madison Church of Christ,Madison,TN,2150,Church of Christ
Woodmont Hills Church of Christ,Nashville,TN,1900,Church of Christ
World Outreach Church,Murfreesboro,TN,15000,"Independent, Nondenominational"
World Overcomers Outreach Ministries Church,Memphis,TN,3000,"Independent, Nondenominational"
Ethos Church,Nasvhille,TN,2800,"Independent, Nondenominational"
Vino Nuevo de El Paso,El Paso,TX,4000,Evangelical
Watermark Community Church,Dallas,TX,8876,"Independent, Nondenominational"
Westover Hills Assembly of God,San Antonio,TX,4314,Assemblies of God
Westside Baptist Church,Lewisville,TX,2001,Baptist (unspecified)
Wheeler Avenue Baptist Church,Houston,TX,6000,National Baptist Convention
White’s Chapel United Methodist Church,Southlake,TX,6149,United Methodist Church
Windsor Village United Methodist Church,Houston,TX,5859,United Methodist Church
Woodlands Church,The Woodlands,TX,18385,Southern Baptist Convention
Globe Harvest Church,Dallas,TX,2260,Southern Baptist Convention
High Pointe Baptist Church,Austin,TX,2219,Southern Baptist Convention
Alief Baptist Church,Houston,TX,2406,Southern Baptist Convention
Palm Valley Church,Mission,TX,3700,"Independent, Nondenominational"
Saint Martin’s Episcopal Church,Houston,TX,4000,Episcopal
March of Faith Ministries,Houston,TX,1800,Baptist (unspecified)
St Lukes United Methodist Church,Houston,TX,1931,United Methodist Church
Highland Church of Christ,Abilene,TX,2000,Church of Christ
Elevate Life Church,Frisco,TX,4000,"Independent, Nondenominational"
Experience Life,Lubbock,TX,3751,"Independent, Nondenominational"
Faith Family Church,Victoria,TX,3000,Unknown (unspecified)
Faithbridge Church,Spring,TX,2200,United Methodist Church
Fallbrook Church,Houston,TX,4000,Unknown (unspecified)
Place for Life,San Antonio,TX,3000,"Independent, Nondenominational"
Fellowship Church,Grapevine,TX,24162,Southern Baptist Convention
Fellowship of the Parks,Keller,TX,2722,Unknown (unspecified)
Fielder Road Baptist Church,Arlington,TX,2001,Southern Baptist Convention
First Baptist Church Amarillo,Amarillo,TX,2050,Southern Baptist Convention
First Baptist Church Euless,Euless,TX,2435,Southern Baptist Convention
First Baptist Church McKinney,McKinney,TX,2301,Southern Baptist Convention
First Baptist Church of Hamilton Park,Richardson,TX,3000,Baptist (unspecified)
First Baptist Church of Lubbock,Lubbock,TX,2000,Southern Baptist Convention
First Baptist Church of Richardson,Richardson,TX,2400,Southern Baptist Convention
First Baptist Church,Belton,TX,2000,Southern Baptist Convention
First Baptist Church,Midland,TX,2000,Southern Baptist Convention
First Baptist Church,Wichita Falls,TX,2000,Southern Baptist Convention
First Baptist Church,Arlington,TX,2292,Southern Baptist Convention
First Baptist Church,Dallas,TX,2632,Southern Baptist Convention
First Baptist Church,Pasadena,TX,3250,Southern Baptist Convention
First Evangelical Free Church,Austin,TX,2500,Evangelical Free
First United Methodist Church Richardson,Richardson,TX,2183,United Methodist Church
First United Methodist Church,Mansfield,TX,2039,United Methodist Church
Friendship West Baptist Church,Dallas,TX,9000,American Baptist
Gateway Church,Southlake,TX,28000,"Independent, Nondenominational"
Gateway Community Church,Austin,TX,4500,Unknown (unspecified)
Glenview Baptist Church,Fort Worth,TX,2300,Southern Baptist Convention
Gospel Tabernacle Church,Dallas,TX,3500,"Independent, Nondenominational"
Grace Bible Church,College Station,TX,2500,"Independent, Nondenominational"
Grace Christian Center,Killeen,TX,2000,"Independent, Nondenominational"
Grace Community Church,Plano,TX,1850,Unknown (unspecified)
Grace Community Church,Tyler,TX,2450,Unknown (unspecified)
Grace Community Church,Houston,TX,5000,Unknown (unspecified)
Celebration Church,Georgetown,TX,5000,"Independent, Nondenominational"
Central Baptist Church,College Station,TX,3000,Southern Baptist Convention
Champion Forest Baptist Church,Houston,TX,8000,Southern Baptist Convention
Chapelwood United Methodist Church,Houston,TX,2253,United Methodist Church
Chase Oaks Church,Plano,TX,5000,"Independent, Nondenominational"
Christ Chapel Bible Church,Fort Worth,TX,4500,"Independent, Nondenominational"
Christ Church Plano,Plano,TX,2500,Anglical
Christ Fellowship,McKinney,TX,2100,"Independent, Nondenominational"
Christ United Methodist Church,Plano,TX,1977,United Methodist Church
Christian Chapel Temple of Faith,Dallas,TX,3500,Christian Methodist Episcopal
Christian House of Prayer,Copperas Cove,TX,2500,"Independent, Nondenominational"
Christian Tabernacle,Houston,TX,4000,Unknown (unspecified)
Church at Sugar Creek,Sugar Land,TX,4500,Southern Baptist Convention
Church Without Walls,Houston,TX,6411,Southern Baptist Convention
Cielo Vista Church,El Paso,TX,2000,"Independent, Nondenominational"
Clear Creek Community Church,League City,TX,5000,Southern Baptist Convention
Columbus Avenue Baptist Church,Waco,TX,2500,Southern Baptist Convention
Community Bible Church,San Antonio,TX,14031,"Independent, Nondenominational"
Community of Faith,Hockley,TX,6000,Unknown (unspecified)
Compass Christian Church,Colleyville,TX,3012,CHRISTIAN
Concord Church,Dallas,TX,3650,Baptist (unspecified)
Concordia Lutheran Church,San Antonio,TX,3000,Lutheran (unspecified)
Cornerstone Church,San Antonio,TX,5400,"Independent, Nondenominational"
Cottonwood Creek Baptist Church,Allen,TX,2100,Southern Baptist Convention
Covenant Church,Carrollton,TX,7000,"Independent, Nondenominational"
Cross Timbers Community Church,Argyle,TX,4600,"Independent, Nondenominational"
Crossroads Christian Church,Grand Prairie,TX,4167,CHRISTIAN
Denton Bible Church,Denton,TX,5000,"Independent, Nondenominational"
DFW New Beginnings Church,Irving,TX,3000,"Independent, Nondenominational"
Saint Michael and All Angels Episcopal,Dallas,TX,5000,Episcopal
Loving Word Fellowship,Houston,TX,2500,Baptist General Conference
Saintsville Sanctuary Church of God In Christ,Dallas,TX,2000,Church of God in Christ
Saturn Road Church of Christ,Garland,TX,1800,Church of Christ
Second Baptist Church,Houston,TX,20656,Southern Baptist Convention
Shoreline Christian Center,Austin,TX,5000,"Independent, Nondenominational"
Silverlake Church,Pearland,TX,2675,Southern Baptist Convention
Southwest Community Church,Houston,TX,3400,Southern Baptist Convention
Stonebriar Community Church,Frisco,TX,4500,"Independent, Nondenominational"
Stonegate Fellowship,Midland,TX,4000,Unknown (unspecified)
Sugar Creek Baptist Church,Sugar Land,TX,3730,Southern Baptist Convention
Summit Christian Center,San Antonio,TX,2834,"Independent, Nondenominational"
Sunnyvale First Baptist Church,Sunnyvale,TX,2400,Southern Baptist Convention
Tallowood Baptist Church,Houston,TX,2000,Baptist (unspecified)
Temple Bible Church,Temple,TX,2800,"Independent, Nondenominational"
The Austin Stone Community Church,Austin,TX,7428,Southern Baptist Convention
The Church at Bethel’s Family,Houston,TX,2000,Unknown (unspecified)
The Church on Rush Creek,Arlington,TX,3300,Southern Baptist Convention
The Community of Faith,Houston,TX,6000,Unknown (unspecified)
The Foundry United Methodist Church,Houston,TX,1800,United Methodist Church
The Fountain of Praise,Houston,TX,9000,Southern Baptist Convention
The Heights Baptist Church,Richardson,TX,2623,Southern Baptist Convention
The Hills Church of Christ,North Richland Hills,TX,4500,Church of Christ
The Met (Metropolitan Baptist Church),Houston,TX,3600,Baptist (unspecified)
The Oaks Fellowship,Red Oak,TX,2700,Assemblies of God
The Potter’s House,Dallas,TX,8000,"Independent, Nondenominational"
The Village Church,Flower Mound,TX,4939,Southern Baptist Convention
The Woodlands United Methodist Church,The Woodlands,TX,4267,United Methodist Church
Travis Avenue Baptist Church,Fort Worth,TX,2000,Southern Baptist Convention
One Community Church,Plano,TX,3000,"Independent, Nondenominational"
Trinity Church,Cedar Hill,TX,2600,Assemblies of God
Trinity Church,Lubbock,TX,2900,"Independent, Nondenominational"
Trinity Fellowship Church,Amarillo,TX,3500,"Independent, Nondenominational"
University United Methodist Church,San Antonio,TX,2589,United Methodist Church
Valley Creek Church,Flower Mound,TX,3500,"Independent, Nondenominational"
Grace Covenant Church,Austin,TX,3500,"Independent, Nondenominational"
Grace Fellowship United Methodist Church,Katy,TX,2442,United Methodist Church
Grace Outreach Center,Plano,TX,4300,"Independent, Nondenominational"
Great Commission Baptist Church,Fort Worth,TX,2000,Southern Baptist Convention
Great Hills Baptist Church,Austin,TX,2200,Southern Baptist Convention
Greater Cornerstone Baptist Church,Dallas,TX,4250,Southern Baptist Convention
Greater Mount Zion Baptist Church,Austin,TX,1800,Baptist (unspecified)
Greater Saint Matthew Church,Houston,TX,3400,Southern Baptist Convention
Green Acres Baptist Church,Tyler,TX,4537,Southern Baptist Convention
Harvest Church,Fort Worth,TX,1800,Baptist (unspecified)
Harvest Time Church,Houston,TX,2000,"Independent, Nondenominational"
High Point Church,Arlington,TX,6000,"Independent, Nondenominational"
Higher Dimension Church,Houston,TX,3700,Southern Baptist Convention
Highland Park United Methodist Church,Dallas,TX,4400,United Methodist Church
Hill Country Bible Church NW,Austin,TX,4600,Unknown (unspecified)
Hillside Christian Church- Amarillo West,Amarillo,TX,8000,CHRISTIAN
Hope Fellowship,Frisco,TX,3100,Assemblies of God
Houston’s First Baptist Church,Houston,TX,6458,Southern Baptist Convention
Hyde Park Baptist Church,Austin,TX,2067,Southern Baptist Convention
Iglesia Cristiana Misericordia,Laredo,TX,2400,Assemblies of God
Iglesia Puerta Del Cielo,El Paso,TX,2500,Unknown (unspecified)
Inspiring Body of Christ Church,Dallas,TX,8000,Unknown (unspecified)
International Christian Center,Brownsville,TX,2000,Unknown (unspecified)
Irving Bible Church,Irving,TX,4100,"Independent, Nondenominational"
Kingsland Baptist Church,Katy,TX,2800,Southern Baptist Convention
Lake Arlington Baptist Church,Arlington,TX,2000,Southern Baptist Convention
Lake Hills Church,Austin,TX,3204,Southern Baptist Convention
Lake Pointe Church,Rockwall,TX,11225,Southern Baptist Convention
Lakeside Baptist Church,Granbury,TX,1800,Baptist (unspecified)
Lakewood Church,Houston,TX,45000,"Independent, Nondenominational"
Life Tabernacle,Houston,TX,3000,Unknown (unspecified)
Lilly Grove Missionary Baptist Church,Houston,TX,1900,Baptist (unspecified)
Longview Baptist Temple,Longview,TX,2500,Baptist (unspecified)
McKinney Memorial Bible Church,Fort Worth,TX,2000,"Independent, Nondenominational"
Milestone Church,Keller,TX,2000,Unknown (unspecified)
Ministerios Bethania USA,Carrollton,TX,2500,Unknown (unspecified)
Mobberly Baptist Church,Longview,TX,2118,Southern Baptist Convention
Abundant Life Cathedral Church,Houston,TX,5000,"Independent, Nondenominational"
Abundant Life Christian Center,La Marque,TX,3000,"Independent, Nondenominational"
Abundant Life Church of God,San Antonio,TX,2000,"Church of God, Cleveland"
Abundant Living Faith Center,El Paso,TX,12400,"Independent, Nondenominational"
Alamo City Christian Fellowship,San Antonio,TX,2125,Southern Baptist Convention
Alamo Heights United Methodist Church,San Antonio,TX,1800,United Methodist Church
Antioch Community Church,Waco,TX,2500,"Independent, Nondenominational"
Antioch Fellowship Missionary Baptist Church,Dallas,TX,2000,Missionary Baptist
Antioch Missionary Baptist Church,Beaumont,TX,2800,Missionary Baptist
Ark Family Church,Conroe,TX,4200,"Independent, Nondenominational"
Austin Christian Fellowship,Austin,TX,1800,"Independent, Nondenominational"
Austin Ridge Bible Church,Austin,TX,2600,Unknown (unspecified)
Bandera Road Community Church,San Antonio,TX,4950,"Independent, Nondenominational"
Bannockburn Baptist Church,Austin,TX,2000,Baptist (unspecified)
Baptist Temple Church,McAllen,TX,2000,Southern Baptist Convention
Bay Area Fellowship,Corpus Christi,TX,6957,Southern Baptist Convention
Bear Creek Baptist Church,Katy,TX,3098,Southern Baptist Convention
Beltway Park Baptist Church,Abilene,TX,2700,Southern Baptist Convention
Bent Tree Bible Fellowship,Carrollton,TX,4500,"Independent, Nondenominational"
Bethany Lutheran Church,Austin,TX,2200,Lutheran (unspecified)
Bethel’s Family,Houston,TX,2700,Southern Baptist Convention
Braeswood Assembly of God,Houston,TX,2300,Assemblies of God
Brentwood Baptist Church,Houston,TX,3000,Southern Baptist Convention
Calvary Austin,Pflugerville,TX,2500,Calvary Churches
Calvary Baptist Church,Beaumont,TX,2350,Southern Baptist Convention
Calvary Church,Irving,TX,4500,Assemblies of God
Calvary Houston,Friendswood,TX,2000,"Independent, Nondenominational"
Cathedral of Hope,Dallas,TX,1800,United Church of Christ
Mount Corinth Baptist Church,Houston,TX,2000,Unknown (unspecified)
Mount Olive Baptist Church,Arlington,TX,3500,Baptist (unspecified)
Mount Sinai Missionary Baptist Church,Austin,TX,2200,Baptist (unspecified)
Mundo De Fe,Carrollton,TX,2000,Unknown (unspecified)
New Birth Baptist Church,Dallas,TX,3000,Unknown (unspecified)
New Faith Church,Houston,TX,2500,Southern Baptist Convention
New Hope Church,Manvel,TX,5686,CHRISTIAN
New Light Christian Center Church,Houston,TX,13500,Unknown (unspecified)
New Song Church,Carrollton,TX,2000,Southern Baptist Convention
North Church,Carrollton,TX,3500,"Independent, Nondenominational"
NorthWood Church,Keller,TX,2106,Southern Baptist Convention
Oak Cliff Bible Fellowship Church,Dallas,TX,7000,"Independent, Nondenominational"
Oak Hills Church,San Antonio,TX,8663,Church of Christ
Oakwood Baptist Church,New Braunfels,TX,2447,Southern Baptist Convention
Overcoming Faith Christian Center,Arlington,TX,2000,Unknown (unspecified)
Pantego Bible Church,Fort Worth,TX,2500,"Independent, Nondenominational"
Park Cities Baptist Church,Dallas,TX,2500,Southern Baptist Convention
Park Cities Presbyterian Church,Dallas,TX,5500,Presbyterian Church of America
Pilgrim Rest Missionary Baptist Church,Dallas,TX,2500,Baptist (unspecified)
Prestoncrest Church of Christ,Dallas,TX,2500,Church of Christ
Prestonwood Baptist Church,Plano,TX,17000,Southern Baptist Convention
PromiseLand Church,Austin,TX,2400,"Independent, Nondenominational"
Real Life,Corpus Christi,TX,2600,Southern Baptist Convention
River Pointe Church,Richmond,TX,3500,Unknown (unspecified)
Riverbend Church,Austin,TX,4000,"Independent, Nondenominational"
Sagemont Church,Houston,TX,3984,Southern Baptist Convention
Saint John Baptist Church,Grand Prairie,TX,8800,"Independent, Nondenominational"
Saint John’s Downtown United Methodist Church,Houston,TX,2044,United Methodist Church
Washington Heights Baptist Church,Ogden,UT,2200,CBA
South Mountain Community Church,Draper,UT,1800,"Independent, Nondenominational"
Iglesia Rios de Agua Via,Odgen,UT,2000,Unknown (unspecified)
Grove Church,Portsmouth,VA,2363,Baptist (unspecified)
Harvest Life Changers World Ministries,Woodbridge,VA,2000,"Independent, Nondenominational"
Highlands Fellowship,Abingdon,VA,4000,Southern Baptist Convention
Immanuel Bible Church,Springfield,VA,4000,"Independent, Nondenominational"
Kempsville Presbyterian Church,Virginia Beach,VA,2200,Evangelical Presbyterian Church
Korean Central Presbyterian Church,Centreville,VA,4500,Presbyterian Church of America
Liberty Baptist Church,Hampton,VA,3023,Southern Baptist Convention
Lifepoint Church,Fredericksburg,VA,1800,Unknown (unspecified)
Chapel Springs,Bristow,VA,2500,Assemblies of God
McLean Bible Church,Vienna,VA,8153,"Independent, Nondenominational"
Mount Lebanon Missionary Baptist Church,Chesapeake,VA,2300,Missionary Baptist
New Life Providence Church,Virginia Beach,VA,2500,"Independent, Nondenominational"
Open Door Presbyterian Church,Herndon,VA,2500,PRES
Reston Bible Church,Dulles,VA,1800,"Independent, Nondenominational"
Richmond Outreach Center,Richmond,VA,5500,"Independent, Nondenominational"
Christian Fellowship Church,Ashburn,VA,2000,"Independent, Nondenominational"
Colonial Heights Baptist Church,Colonial Heights,VA,2125,Southern Baptist Convention
Cornerstone Chapel,Leesburg,VA,3250,Unknown (unspecified)
Fairfax Community Church,Fairfax,VA,2500,Unknown (unspecified)
Faith Deliverance Christian Center,Norfolk,VA,2000,Church of Christ
Faith Landmarks Ministries,Richmond,VA,5000,Unknown (unspecified)
First Baptist Norfolk,Norfolk,VA,2462,Southern Baptist Convention
First Mount Zion Baptist Church,Dumfries,VA,3400,Baptist (unspecified)
Saint Paul’s Baptist Church,Richmond,VA,6257,Southern Baptist Convention
Spotswood Baptist Church,Fredericksburg,VA,2000,Southern Baptist Convention
The Falls Church Anglican,Falls Church,VA,3000,Anglical
The Rock Church International,Virginia Beach,VA,2225,"Independent, Nondenominational"
Thomas Road Baptist Church,Lynchburg,VA,8350,Unknown (unspecified)
Tree of Life Ministries,Lynchburg,VA,2400,Pentecostal (unspecified)
Grace Church,Dumfries,VA,2000,"Independent, Nondenominational"
Alfred Street Baptist Church,Alexandria,VA,2800,Baptist (unspecified)
Antioch Baptist Church,Fairfax Station,VA,1800,Southern Baptist Convention
Atlantic Shores Baptist Church,Virginia Beach,VA,2000,Southern Baptist Convention
Bethel Temple Assembly of God,Hampton,VA,2613,Assemblies of God
Blue Ridge Community Church,Forest,VA,2000,"Independent, Nondenominational"
Calvary Revival Church,Norfolk,VA,8000,"Independent, Nondenominational"
Waters Edge Church,Yorktown,VA,3594,Southern Baptist Convention
Wave Church,Virginia Beach,VA,4000,"Independent, Nondenominational"
West End Assembly of God,Richmond,VA,2100,Assemblies of God
Williamsburg Community Chapel,Williamsburg,VA,2400,Unknown (unspecified)
Christ Chapel,Woodbridge,VA,1862,Assemblies of God
Reston Bible Church,Reston,VA,1800,"Independent, Nondenominational"
Faith! Christian Church,Waverly Gardens,VIC,1900,Unknown (unspecified)
Eastside Foursquare Church,Bothell,WA,2300,Four Square
First Presbyterian Church of Bellevue,Bellevue,WA,2203,"Presbyterian Church, U.S.A."
First Presbyterian Church,Spokane,WA,2500,Presbyterian Church of America
Gold Creek Community Church,Mill Creek,WA,2389,CHRISTIAN
Grace Community Church,Auburn,WA,2000,CBA
Centro Cristiano Ministries,Manson,WA,2000,"Independent, Nondenominational"
Champions Centre,Tacoma,WA,5500,"Independent, Nondenominational"
Gateway Fellowship,Poulsbo,WA,2000,Assemblies of God
Christ the King Community Church,Burlington,WA,17000,"Independent, Nondenominational"
Christian Faith Center,Seattle,WA,8000,"Independent, Nondenominational"
Church For All Nations,Tacoma,WA,2000,"Independent, Nondenominational"
Church of Living Water,Olympia,WA,2100,Four Square
New Life Fellowship-Community Church of Seattle,Bothell,WA,3000,Unknown (unspecified)
Cornwall Church,Bellingham,WA,2300,"Church of God, Anderson"
Crossroads Bible Church,Bellevue,WA,2100,Baptist General Conference
Crossroads Community Church,Vancouver,WA,4000,Unknown (unspecified)
East Lake Community Church,Bothell,WA,4500,"Independent, Nondenominational"
Life Center Foursquare,Spokane,WA,4500,Four Square
Life Center,Tacoma,WA,4811,Assemblies of God
Lighthouse Christian Center,Puyallup,WA,1800,Christian & Missionary Alliance
Living Hope Church,Vancouver,WA,5200,"Independent, Nondenominational"
Mount Zion Baptist Church,Seattle,WA,2500,Baptist (unspecified)
New Heights Church,Vancouver,WA,4000,Baptist General Conference
New Life Church at Renton,Renton,WA,2733,Assemblies of God
New Life Foursquare Church,Everett,WA,2700,Four Square
NewLife Church,Silverdale,WA,3044,Assemblies of God
North County Christ the King Community Church,Lynden,WA,1950,"Independent, Nondenominational"
Northshore Baptist Church,Kirland,WA,2400,Baptist (unspecified)
Northwest Church,Federal Way,WA,1800,Four Square
Overlake Christian Church,Redmond,WA,3000,CHRISTIAN
Puyallup Foursquare Church,Puyallup,WA,3500,Four Square
River of Life Fellowship,Kent,WA,2000,"Independent, Nondenominational"
Saint John Baptist Church,Tacoma,WA,2000,Unknown (unspecified)
Walla Walla City Seventh-day Adventist Church,Walla Walla,WA,1800,Seventh-day Adventist
Washington Cathedral,Redmond,WA,2000,Unknown (unspecified)
Westgate Chapel,Edmonds,WA,2000,"Independent, Nondenominational"
Westminster Chapel,Bellevue,WA,3000,"Independent, Nondenominational"
Eastridge Church,Issaquah,WA,1900,Assemblies of God
Tabernacle Missionary Baptist Church,Seattle,WA,1800,Unknown (unspecified)
The City Church,Kirkland,WA,6300,"Independent, Nondenominational"
University Presbyterian Church,Seattle,WA,3896,"Presbyterian Church, U.S.A."
Antioch Bible Church,Redmond,WA,3500,"Independent, Nondenominational"
Bethany Community Church,Seattle,WA,2874,"Independent, Nondenominational"
Bethel Church,Richland,WA,2400,Unknown (unspecified)
Calvary Chapel,Spokane,WA,2600,Calvary Churches
Calvary Community Church,Sumner,WA,3000,"Independent, Nondenominational"
Calvary Fellowship Church,Mountlake Terrace,WA,1900,Unknown (unspecified)
Canyon Hills Community Church,Bothell,WA,2100,"Independent, Nondenominational"
Cascade Community Church,Monroe,WA,2000,"Independent, Nondenominational"
Alliance Missionary Church,Marshfield,WI,1800,Christian & Missionary Alliance
Appleton Alliance Church,Appleton,WI,3000,Christian & Missionary Alliance
Bethel Lutheran Church,Madison,WI,1800,Lutheran (unspecified)
Blackhawk Church,Verona,WI,4000,Evangelical Free
Hales Corners Lutheran Church,Hales Corners,WI,3000,Lutheran (unspecified)
Journey Church,Kenosha,WI,2400,Assemblies of God
Elmbrook Church,Brookfield,WI,7013,"Independent, Nondenominational"
Fox River Christian Church,Waukesha,WI,2400,Unknown (unspecified)
Celebration Church – Bayside,Green Bay,WI,4000,"Independent, Nondenominational"
Central Christian Church,Beloit,WI,1981,CHRISTIAN
Christ the Rock Community Church,Menasha,WI,3000,"Independent, Nondenominational"
Christian Faith Fellowship,Milwaukee,WI,6000,Church of God in Christ
Door Creek Church,Madison,WI,2000,Evangelical Free
Eastbrook Church,Milwaukee,WI,2000,"Independent, Nondenominational"
Oak Creek Assembly of God,Oak Creek,WI,2229,Assemblies of God
Bible Center Church,Charleston,WV,2500,"Independent, Nondenominational"
Chestnut Ridge Church,Morgantown,WV,2400,"Independent, Nondenominational"
Maranatha Fellowship Church,Saint Albans,WV,2200,Unknown (unspecified)
Highland Park Community Church,Casper,WY,2500,"Church of God, Cleveland"
